Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2,Nama Fasilitas,Jenis,Status,Sampahmasuk (ton/thn),Sampahmasuk Landfill (ton/thn),Sampah Organikterolah (ton/thn),Sampah An-Organikterolah (ton/thn),RecoveryPemulung (ton/thn),Energi(MW),Alamat,Kelurahan,Kecamatan,Pengelola,Luas (hektar),Sistem Operasional,Luas Landfill Aktif (m2),Pencatatan,Jembatan Timbang,Penutupan Sampah Zona Aktif,Jml Sumur Pantau,IPL,Jml Uji Lindi,Ada Drainase,Pemanfaatan Gas Metana,Jumlah KK yang memanfaatkan gas Metana,Tahun Awal Operasi,Tahun Akhir Operasi,Ada Data SIPSN,Ada Data TPA
2025,Aceh,Kab. Aceh Barat,30802.93,0.61,0.0,22909.85,74.38,22910.46,74.38,0.0,2915.15,9.46,P 1,TPA Gunong Mata Ie,TPA Pemda (Non Regional),A,20126.1,19761.1,0.0,0.0,365.0,0.0,"Gampong Paya Baro Ranto Panyang, Kec. Meureubo - Kabupaten Aceh Barat",,,Pemda DATI II,10.0,Control Landfill,10000.0,Manual Book,Ada tapi Rusak,2-3x Seminggu,1.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",,ADA,Tidak ada. Gas Metana dibakar.,,2022.0,,True,True
2025,Aceh,Kab. Aceh Barat Daya,29444.55,228.13,0.77,299.3,1.02,527.43,1.79,228.13,299.3,1.79,P 1,TPA Ikhu lhung,TPA Pemda (Non Regional),A,6935.0,6935.0,0.0,0.0,0.0,0.0,Ikhu Lhung Jeumpa,I khu lhung,jeumpa,Pemda DATI II,0.0,Open Dumping,3833.0,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada & Berfungsi,2-3x Seminggu,1.0,,,ADA,,,2013.0,,True,True
2025,Aceh,Kab. Aceh Besar,55435.47,4.62,0.01,1144.16,2.06,1148.78,2.07,0.0,1144.16,2.06,P 1,,,,,,,,,,,,,Tidak Diketahui,,Tidak Diketahui,,,,,,,,,,,,,True,False
2025,Aceh,Kab. Aceh Jaya,18506.78,0.0,0.0,280.8,1.52,280.8,1.52,0.0,280.8,1.52,P 1,TPA Gunong Tanggoh,TPA Pemda (Non Regional),A,7413.15,7340.15,0.0,0.0,73.0,0.0,Gampong Keutapang,,,Pemda DATI II,5.0,Open Dumping,5000.0,Manual Book,Tidak Ada,Setahun Sekali,1.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",,ADA,,,2015.0,,True,True
2025,Aceh,Kab. Aceh Jaya,18506.78,0.0,0.0,280.8,1.52,280.8,1.52,0.0,280.8,1.52,P 1,TPA BABAH IE,TPA Pemda (Non Regional),A,2847.0,2810.5,0.0,0.0,36.5,0.0,Gampong Babah Ie,,,Pemda DATI II,1.5,Open Dumping,5000.0,Manual Book,Tidak Ada,Setahun Sekali,,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",,ADA,,,2006.0,,True,True
2025,Aceh,Kab. Aceh Selatan,35331.12,0.0,0.0,18.62,0.05,18.62,0.05,0.0,18.62,0.05,P 1,TPA PASIE RAJA,TPA Pemda (Non Regional),A,12775.0,12636.3,0.0,0.0,138.7,0.0,Pasie Rasian,Pasie Rasian,Pasie Raja,Pemda DATI II,5.3,Open Dumping,20.0,,Ada tapi Rusak,,1.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",,ADA,,,,,True,True
2025,Aceh,Kab. Aceh Singkil,20440.0,0.0,0.0,2343.2,11.46,2343.2,11.46,0.0,2343.2,11.46,P 1,TPA Kabupaten Aceh Singkil,TPA Pemda (Non Regional),A,4197.5,4015.0,0.0,0.0,182.5,0.0,Desa Kampung Baru Kecamatan Singkil Utara,,,Pemda DATI II,6.15,Open Dumping,8800.0,Manual Book,Tidak Ada,Tidak Ditutup,,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",,TIDAK ADA,,,,,True,True
2025,Aceh,Kab. Aceh Tamiang,46213.96,78.16,0.17,1271.35,2.75,1349.51,2.92,0.0,1271.35,2.75,P 1,TPA Kampung Durian,TPA Pemda (Non Regional),A,8121.25,3821.55,547.5,1277.5,2474.7,0.0,Dusun Subur Kampung Durian Kecamatan Rantau Kabupaten Aceh Tamiang,Durian,Rantau,Pemda DATI II,5.2,Tidak Diketahui,5200.0,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada & Berfungsi,Seminggu Sekali,2.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",1.0,ADA,Tidak ada. Gas Metana dibakar.,,2010.0,,True,True
2025,Aceh,Kab. Aceh Tengah,41601.58,0.0,0.0,1109.97,2.67,1109.97,2.67,0.0,1109.97,2.67,P 1,TPA Uwer Tetemi,TPA Pemda (Non Regional),A,23360.0,22630.0,0.0,0.0,730.0,0.0,Jl Mulie jadi Terang Engon,Mulie Jadi,Silih Nara,Pemda DATI II,9.0,Open Dumping,2.0,Manual Book,Tidak Ada,Tidak Ditutup,3.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",,TIDAK ADA,Tidak ada. Gas Metana dibakar.,,2016.0,,True,True
2025,Aceh,Kab. Aceh Tenggara,42994.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P 1,TPA SELAMAT INDAH,TPA Pemda (Non Regional),A,10022.9,7796.4,36.5,0.0,2190.0,0.0,DESA SELAMAT INDAH,,,Pemda DATI II,48.39,Open Dumping,5913.6,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada & Berfungsi,Sebulan Sekali,4.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",,ADA,Tidak ada. Gas Metana dibakar.,,2013.0,,True,True
