Provinsi,Kabupaten/Kota,rasio_pengelolaan,rasio_pengurangan,rasio_penanganan,recycling_rate,Luas (hektar),Jml Sumur Pantau,utilisasi_tpa,efisiensi_landfill,rasio_recovery_pemulung,rasio_organik_terolah,sampah_per_hektar,proporsi_landfill_aktif,usia_operasi_tpa,skor_penutupan,skor_jembatan,skor_drainase,skor_infrastruktur,Jenis_TPA Pemda (Non Regional),Jenis_TPA Regional,Jenis_nan,Pengelola_Lainnya,Pengelola_Pemda DATI I,Pengelola_Pemda DATI II,Pengelola_Swasta,Pengelola_Tidak Diketahui,Pengelola_nan,Sistem Operasional_Control Landfill,Sistem Operasional_Open Dumping,Sistem Operasional_Sanitary Landfill,Sistem Operasional_Tidak Diketahui,Sistem Operasional_nan,Ada Data SIPSN,Ada Data TPA,P1/P2,Status
Aceh,Kab. Aceh Barat,0.7437753486437816,1.9803310918798957e-05,0.7437555453328628,0.09463872430317506,10.0,1.0,0.6533826489882618,0.9818643453028655,0.018135654697134566,0.0,2012.61,0.1,3.0,4.0,1.0,1.0,6.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,P 1,A
Aceh,Kab. Aceh Barat Daya,0.017912652765961785,0.007747783545681629,0.010164869220280155,0.017912652765961785,0.0,1.0,0.23552745754307675,1.0,0.0,0.0,,1.0,12.0,4.0,2.0,1.0,7.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Aceh,Kab. Aceh Besar,0.020722833232946342,8.334014305281438e-05,0.02063949308989353,0.02063949308989353,,,,,,,,,,,,,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,P 1,
Aceh,Kab. Aceh Jaya,0.015172817745712655,0.0,0.015172817745712655,0.015172817745712655,5.0,1.0,0.40056400951435095,0.9901526341703595,0.009847365829640572,0.0,1482.6299999999999,0.1,10.0,0.0,0.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Aceh,Kab. Aceh Jaya,0.015172817745712655,0.0,0.015172817745712655,0.015172817745712655,1.5,,0.1538355132551422,0.9871794871794872,0.01282051282051282,0.0,1898.0,0.3333333333333333,19.0,0.0,0.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Aceh,Kab. Aceh Selatan,0.0005270141450370099,0.0,0.0005270141450370099,0.0005270141450370099,5.3,1.0,0.36157925364381316,0.9891428571428571,0.010857142857142857,0.0,2410.377358490566,0.0003773584905660377,,,1.0,1.0,2.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Aceh,Kab. Aceh Singkil,0.11463796477495107,0.0,0.11463796477495107,0.11463796477495107,6.15,,0.20535714285714285,0.9565217391304348,0.043478260869565216,0.0,682.520325203252,0.14308943089430895,,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Aceh,Kab. Aceh Tamiang,0.02920134954892418,0.001691263851875061,0.027510085697049116,0.027510085697049116,5.2,2.0,0.17573153220368912,0.470561797752809,0.30471910112359546,0.06741573033707865,1561.7788461538462,0.1,15.0,3.0,2.0,1.0,6.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,P 1,A
Aceh,Kab. Aceh Tengah,0.026680957790545454,0.0,0.026680957790545454,0.026680957790545454,9.0,3.0,0.5615171346857499,0.96875,0.03125,0.0,2595.5555555555557,2.2222222222222223e-05,9.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Aceh,Kab. Aceh Tenggara,0.0,0.0,0.0,0.0,48.39,4.0,0.2331178586156201,0.7778587035688274,0.21849963583394028,0.003641660597232338,207.12750568299234,0.012220706757594546,12.0,1.0,2.0,1.0,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
